_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20086f4453256b07aae6,IBM,IBM Machine Learning,"[' Machine Learning', ' Machine Learning Algorithms', ' Human Learning', ' Statistical Machine Learning', ' Data Analysis', ' Algorithms', ' Probability & Statistics', ' Applied Machine Learning', ' Forecasting', ' General Statistics', ' Statistical Analysis', ' Regression', ' Deep Learning', ' Python Programming', ' Machine Learning Software', ' Artificial Neural Networks', ' Exploratory Data Analysis', ' Feature Engineering', ' Dimensionality Reduction', ' Statistical Tests', ' Reinforcement Learning', ' Data Model', ' Data Structures', ' Network Model', ' Tensorflow']",4.6,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aae7,Google Cloud,Preparing for Google Cloud Certification: Cloud Architect,"[' Google Cloud Platform', ' Cloud Computing', ' Cloud Applications', ' Cloud Engineering', ' Cloud Platforms', ' Cloud Infrastructure', ' Cloud Management', ' Cloud Storage', ' Other Cloud Platforms and Tools', ' Cloud Standards', ' Cloud-Based Integration', ' Computer Networking', ' DevOps', ' Google App Engine', ' Computer Architecture', ' Kubernetes', ' Billing & Invoicing', ' Computer Security Models', ' Critical Thinking', ' Network Architecture', ' Computer Programming', ' Operational Analysis', ' Software Testing', ' Leadership and Management']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aae8,Google Cloud,Preparing for Google Cloud Certification: Cloud Engineer,"[' Cloud Computing', ' Google Cloud Platform', ' Cloud Platforms', ' Cloud Applications', ' Cloud Engineering', ' Cloud Storage', ' Cloud Infrastructure', ' Cloud Management', ' Computer Networking', ' Cloud Standards', ' Cloud-Based Integration', ' Computer Architecture', ' Google App Engine', ' Other Cloud Platforms and Tools', ' DevOps', ' Computer Programming Tools', ' Kubernetes', ' Network Architecture', ' Computer Programming', ' Billing & Invoicing', ' Leadership and Management']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aae9,Google Cloud,Preparing for Google Cloud Certification: Machine Learning Engineer,"[' Machine Learning', ' Google Cloud Platform', ' Applied Machine Learning', ' Cloud Computing', ' Human Learning', ' Machine Learning Software', ' Cloud Platforms', ' Machine Learning Algorithms', ' Tensorflow', ' Deep Learning', ' Feature Engineering', ' Artificial Neural Networks', ' Training', ' DevOps', ' Exploratory Data Analysis', ' Python Programming', ' Cloud-Based Integration', ' Data Analysis', ' Data Visualization', ' Big Data', ' Probability & Statistics', ' Regression', ' Statistical Programming', ' Statistical Visualization', ' Algorithms', ' Continuous Integration', ' SQL', ' Cloud API', ' Apache', ' Extract', ' Transform', ' Load', ' Docker (Software)']",4.6,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaea,Google Cloud,Preparing for Google Cloud Certification: Cloud Developer,"[' Cloud Applications', ' Cloud Computing', ' Google Cloud Platform', ' Cloud Infrastructure', ' Cloud Platforms', ' Cloud API', ' Cloud Engineering', ' Other Cloud Platforms and Tools', ' Cloud Management', ' Cloud Storage', ' Cloud Load Balancing', ' Cloud-Based Integration', ' DevOps', ' Application Development', ' Google App Engine', ' Software Architecture', ' Computer Architecture', ' Back-End Web Development', ' Docker (Software)', ' Kubernetes']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaeb,Amazon Web Services,AWS Cloud Solutions Architect,"[' Amazon Web Services', ' Cloud Computing', ' Cloud Storage', ' Data Management', ' Big Data', ' Cloud Applications', ' Cloud Engineering', ' Cloud Platforms', ' Data Analysis', ' Data Warehousing', ' Extract', ' Transform', ' Load', ' Cloud Management', ' Data Architecture', ' Cloud Infrastructure', ' Data Visualization', ' Database Design', ' Leadership and Management', ' Machine Learning', ' Software Architecture']",4.8,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaec,Google Cloud,Preparing for Google Cloud Certification: Cloud Security Engineer,"[' Cloud Computing', ' Google Cloud Platform', ' Cloud Platforms', ' Cloud Engineering', ' Cloud Infrastructure', ' Network Security', ' Computer Networking', ' Computer Security Models', ' Cloud Applications', ' Cloud Management', ' Cloud Storage', ' Network Architecture', ' Software Security', ' System Security', ' Other Cloud Platforms and Tools', ' Security Engineering', ' Security Strategy', ' Cloud-Based Integration', ' Google App Engine', ' Network Model', ' Computer Security Incident Management', ' Software-Defined Networking', ' Security Software', ' Kubernetes', ' Leadership and Management']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaed,Google Cloud,Preparing for Google Cloud Certification: Cloud Data Engineer,"[' Cloud Computing', ' Google Cloud Platform', ' Cloud Platforms', ' Big Data', ' Data Management', ' Data Analysis', ' Data Analysis Software', ' Databases', ' Computer Networking', ' Applied Machine Learning', ' Data Warehousing', ' Machine Learning', ' SQL', ' Communication', ' Cloud Storage', ' Data Architecture', ' Human Learning', ' Machine Learning Algorithms', ' Machine Learning Software', ' Algorithms', ' Cloud Applications', ' Cloud Infrastructure', ' Distributed Computing Architecture', ' Other Cloud Platforms and Tools', ' Leadership and Management', ' Network Security', ' Problem Solving', ' Apache', ' Python Programming', ' Feature Engineering', ' Statistical Programming', ' Tensorflow']",4.6,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaee,Google Cloud,Preparing for Google Cloud Certification: Cloud Network Engineer,"[' Cloud Computing', ' Google Cloud Platform', ' Cloud Platforms', ' Cloud Engineering', ' Cloud Infrastructure', ' Computer Networking', ' Cloud Applications', ' Other Cloud Platforms and Tools', ' Cloud Management', ' Cloud Storage', ' Cloud-Based Integration', ' Network Architecture', ' Network Model', ' Network Security', ' Software-Defined Networking', ' Google App Engine', ' Security Strategy', ' Kubernetes', ' Leadership and Management']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aaef,Microsoft,Microsoft Azure Data Engineering Associate (DP-203),"[' Data Management', ' Microsoft Azure', ' Extract', ' Transform', ' Load', ' Cloud Computing', ' Big Data', ' Data Warehousing', ' Cloud-Based Integration', ' Cloud Storage', ' Data Architecture', ' Cloud Engineering', ' Cloud Platforms', ' Databases', ' SQL', ' Data Analysis', ' Cloud Applications', ' Data Structures', ' Distributed Computing Architecture', ' Cloud Management', ' Warehouse Management', ' Leadership and Management', ' NoSQL', ' Apache', ' Continuous Integration', ' Operational Analysis', ' Python Programming']",4.4,0,Intermediate , Professional Certificate , 3 - 6 Months,False
